"Cenario.x";"Replicacao";"Soma_DespesaTurnover.x";"Soma_DespesaAbsenteismo.x";"Soma_DespesaMultas.x";"Soma_DespesaAcoesRegressivasINSS.x";"Cenario.y";"Soma_DespesaTurnover.y";"Soma_DespesaAbsenteismo.y";"Soma_DespesaMultas.y";"Soma_DespesaAcoesRegressivasINSS.y";"CustoTotalCBR";"BeneficioTurnover";"BeneficioAbsenteismo";"BeneficioMultas";"BeneficioAcoesRegressivasINSS";"BeneficioTotalCBR";"RazaoBeneficioCusto"
"SemIniciativa";52;-53324,2769095738;-3437594,7496698;0;-99545,4545454545;"Iniciativa1";-30365,7060679061;-2753545,44988662;0;-70909,0909090909;95454,5454545454;22958,5708416677;684049,299783181;0;28636,3636363636;735644,234261213;7,70674912083175
"SemIniciativa";53;-53181,3149340713;-3470268,62015615;0;-99545,4545454545;"Iniciativa1";-30627,4030182742;-2766069,50444;0;-70909,0909090909;95454,5454545454;22553,9119157971;704199,11571615;0;28636,3636363636;755389,39126831;7,91360314662039
"SemIniciativa";54;-53449,1480431399;-3467180,58495459;0;-99545,4545454545;"Iniciativa1";-30045,8999862816;-2790088,96798127;0;-70909,0909090909;95454,5454545454;23403,2480568583;677091,616973325;0;28636,3636363636;729131,228666547;7,63851763364954
"SemIniciativa";55;-53593,9754582365;-3468909,93350432;0;-99545,4545454545;"Iniciativa1";-30365,4477292542;-2760899,42780047;0;-70909,0909090909;95454,5454545454;23228,5277289823;708010,505703847;0;28636,3636363636;759875,397069193;7,96059939786774
"SemIniciativa";56;-53431,7539173405;-3468857,86949768;0;-99545,4545454545;"Iniciativa1";-30509,3944881372;-2779738,85179745;0;-70909,0909090909;95454,5454545454;22922,3594292033;689119,017700235;0;28636,3636363636;740677,740765802;7,75948109373698
"SemIniciativa";57;-53639,4906133183;-3473694,12657881;0;-99545,4545454545;"Iniciativa1";-30646,8330275214;-2791779,78749918;0;-70909,0909090909;95454,5454545454;22992,6575857969;681914,339079632;0;28636,3636363636;733543,360301793;7,6847399650664
"SemIniciativa";58;-53808,5122468896;-3499913,71713103;0;-99545,4545454545;"Iniciativa1";-30925,2967969589;-2762239,5207093;0;-70909,0909090909;95454,5454545454;22883,2154499307;737674,196421731;0;28636,3636363636;789193,775508026;8,26774431484598
"SemIniciativa";59;-53185,3892786761;-3470296,8432311;0;-99545,4545454545;"Iniciativa1";-30185,3203443536;-2755206,73405625;0;-70909,0909090909;95454,5454545454;23000,0689343225;715090,109174849;0;28636,3636363636;766726,541745535;8,03237329447703
"SemIniciativa";60;-53275,2410904696;-3488252,48359056;0;-99545,4545454545;"Iniciativa1";-30714,5279553471;-2762090,60779139;0;-70909,0909090909;95454,5454545454;22560,7131351225;726161,87579917;0;28636,3636363636;777358,952570656;8,14376045550212
"SemIniciativa";61;-53197,2556043919;-3491848,62708814;0;-99545,4545454545;"Iniciativa1";-30829,6885978893;-2758390,47687499;0;-70909,0909090909;95454,5454545454;22367,5670065026;733458,150213144;0;28636,3636363636;784462,08085601;8,2181741803963
"SemIniciativa";62;-53537,5261637158;-3440780,45427333;0;-99545,4545454545;"Iniciativa1";-30329,1222302474;-2768908,33723182;0;-70909,0909090909;95454,5454545454;23208,4039334684;671872,117041504;0;28636,3636363636;723716,884611336;7,58179593402352
"SemIniciativa";63;-54019,2617187424;-3478699,74282034;0;-99545,4545454545;"Iniciativa1";-30494,2816494317;-2757948,25343044;0;-70909,0909090909;95454,5454545454;23524,9800693107;720751,489389905;0;28636,3636363636;772912,833095579;8,09718206100131
"SemIniciativa";64;-53652,1376568793;-3445046,63056546;0;-99545,4545454545;"Iniciativa1";-30473,6449646055;-2785369,52671909;0;-70909,0909090909;95454,5454545454;23178,4926922738;659677,103846379;0;28636,3636363636;711491,960175017;7,4537252970716
"SemIniciativa";65;-53135,4103800012;-3491397,39950626;0;-99545,4545454545;"Iniciativa1";-30574,5643576429;-2741435,39259475;0;-70909,0909090909;95454,5454545454;22560,8460223583;749962,006911511;0;28636,3636363636;801159,216570233;8,39309655454529
"SemIniciativa";66;-53377,6434044205;-3493862,66739221;0;-99545,4545454545;"Iniciativa1";-30629,7993456518;-2754892,06099133;0;-70909,0909090909;95454,5454545454;22747,8440587687;738970,606400872;0;28636,3636363636;790354,814096004;8,27990757624385
"SemIniciativa";67;-53486,8627043633;-3457299,67305987;0;-99545,4545454545;"Iniciativa1";-30310,9241650905;-2757671,0548;0;-70909,0909090909;95454,5454545454;23175,9385392728;699628,618259873;0;28636,3636363636;751440,92043551;7,87223821408629
"SemIniciativa";68;-53286,0785671768;-3456284,66437919;0;-99545,4545454545;"Iniciativa1";-30455,0706568242;-2752514,43469382;0;-70909,0909090909;95454,5454545454;22831,0079103526;703770,229685361;0;28636,3636363636;755237,601232077;7,91201296528843
"SemIniciativa";69;-53378,3882701624;-3414657,24412192;0;-99545,4545454545;"Iniciativa1";-30383,7301596839;-2769025,95402531;0;-70909,0909090909;95454,5454545454;22994,6581104785;645631,29009661;0;28636,3636363636;697262,311843452;7,30465279074093
"SemIniciativa";70;-52678,594108581;-3455216,18087752;0;-99545,4545454545;"Iniciativa1";-30936,5379487395;-2760237,48406911;0;-70909,0909090909;95454,5454545454;21742,0561598415;694978,696808407;0;28636,3636363636;745357,116604612;7,80850312633403
"SemIniciativa";71;-53283,4230650542;-3494788,9071163;0;-99545,4545454545;"Iniciativa1";-30368,1487658644;-2772990,57623721;0;-70909,0909090909;95454,5454545454;22915,2742991898;721798,330879093;0;28636,3636363636;773349,968814647;8,1017615780582
"SemIniciativa";72;-53075,9218613003;-3479613,48879252;0;-99545,4545454545;"Iniciativa1";-30619,4059089217;-2747874,52105286;0;-70909,0909090909;95454,5454545454;22456,5159523786;731738,967739657;0;28636,3636363636;782831,847328399;8,20109554344037
"SemIniciativa";73;-53341,2956541203;-3470811,4370013;0;-99545,4545454545;"Iniciativa1";-30518,7407679904;-2786715,05123485;0;-70909,0909090909;95454,5454545454;22822,55488613;684096,38576645;0;28636,3636363636;735555,304288943;7,70581747350322
"SemIniciativa";74;-53162,2521072714;-3445465,90546469;0;-99545,4545454545;"Iniciativa1";-30883,6108139665;-2756997,21545144;0;-70909,0909090909;95454,5454545454;22278,6412933049;688468,69001325;0;28636,3636363636;739383,694942919;7,74592442321153
"SemIniciativa";75;-54137,9946427513;-3496737,16717804;0;-99545,4545454545;"Iniciativa1";-30818,9954548461;-2809939,57693993;0;-70909,0909090909;95454,5454545454;23318,9991879052;686797,590238114;0;28636,3636363636;738752,953062383;7,73931665112972
"SemIniciativa";76;-54248,3018630668;-3390059,30187317;0;-99545,4545454545;"Iniciativa1";-30481,7015241333;-2766757,22772699;0;-70909,0909090909;95454,5454545454;23766,6003389335;623302,074146179;0;28636,3636363636;675705,038121476;7,07881468508213
"SemIniciativa";77;-52906,5654481236;-3478221,23841888;0;-99545,4545454545;"Iniciativa1";-30348,7529699319;-2783419,32198734;0;-70909,0909090909;95454,5454545454;22557,8124781917;694801,916431546;0;28636,3636363636;745996,092546101;7,81519716000677
"SemIniciativa";78;-53392,5180234154;-3473162,7054712;0;-99545,4545454545;"Iniciativa1";-30425,0991992799;-2745013,90417775;0;-70909,0909090909;95454,5454545454;22967,4188241355;728148,801293456;0;28636,3636363636;779752,583753955;8,1688365917081
"SemIniciativa";79;-53138,0445075796;-3473809,22340634;0;-99545,4545454545;"Iniciativa1";-30484,4492228171;-2784852,28896457;0;-70909,0909090909;95454,5454545454;22653,5952847624;688956,93444177;0;28636,3636363636;740246,893362896;7,75496745427796
"SemIniciativa";80;-54254,1069746191;-3458432,04507847;0;-99545,4545454545;"Iniciativa1";-30338,8783859693;-2790352,42994068;0;-70909,0909090909;95454,5454545454;23915,2285886497;668079,615137785;0;28636,3636363636;720631,207362799;7,5494697914198
